record_id,surface,query_id,title_or_page,year,decision,include_exclude_reason,novelty_axis
Q4-09,Crossref,Q4,LLM-Trust: Verifiable Intelligence for Distributed Systems Control,2025,EXCLUDE,insufficient claim-matched metadata,none
Q4-10,Crossref,Q4,LLM-AQuA-DiVeR,2025,EXCLUDE,requirements QA not inference verification,none
Q6-01,arXiv,Q6,TensorCommitments: A Lightweight Verifiable Inference for Language Models,2026,INCLUDE,direct lightweight proof-of-inference overlap,execution verification
Q6-02,arXiv,Q6,Communication-Efficient Verifiable Attention for LLM Inference,2026,INCLUDE,adjacent attention verification,execution verification
Q6-03,arXiv,Q6,Verifying LLM Inference to Detect Model Weight Exfiltration,2025,INCLUDE,direct inference-verification adjacency,execution verification
Q6-04,arXiv,Q6,SVIP: Towards Verifiable Inference of Open-source Large Language Models,2024,INCLUDE,direct open-source LLM verification overlap,execution verification
Q6-05,arXiv,Q6,Repeated-Game Security for Restaking-Based Verifiable Inference,2026,INCLUDE,cryptoeconomic restaking verification overlap,receipt-credit-consensus lifecycle
Q6-06,arXiv,Q6,REST API Testing with Verified LLM-Inferred Dependencies,2026,EXCLUDE,verifies inferred API dependencies not LLM execution,none
Q6-07,arXiv,Q6,NanoZK: Privacy-Preserving Verifiable Inference for Large Language Models,2026,INCLUDE,zero-knowledge verifiable inference baseline,execution verification
Q6-08,arXiv,Q6,TOPLOC: A Locality Sensitive Hashing Scheme for Trustless Verifiable Inference,2024,INCLUDE,trustless inference verification overlap,execution verification
K-01,GitHub,K1,CommitLLM repository metadata,2026,INCLUDE,known-item recovery for committed open-weight inference and challenge audit,execution verification
K-02,arXiv,K2,opML abstract page,2024,INCLUDE,known-item recovery for optimistic ML fraud proofs,optimistic dispute
K-03,USENIX,K3,zkGPT official conference page,2025,INCLUDE,peer-reviewed ZK inference baseline,execution verification
K-04,arXiv,K4,EigenAI abstract page,2026,INCLUDE,deterministic inference and cryptoeconomic public-audit overlap,receipt-credit-consensus lifecycle
K-05,arXiv,K5,Optimistic TEE-Rollups abstract page,2025,INCLUDE,adjacent AI-blockchain optimistic architecture,semantic evidence binding
K-06,OpenAlex,K6,opML known-item metadata recovery,2024,INCLUDE,identifier and metadata recovery,optimistic dispute
K-07,OpenAlex,K7,zkGPT known-item metadata recovery,2025,INCLUDE,identifier and metadata recovery,execution verification
K-08,OpenAlex,K8,EigenAI known-item metadata recovery,2026,INCLUDE,identifier and metadata recovery,receipt-credit-consensus lifecycle
K-09,OpenAlex,K9,SVIP known-item metadata recovery,2024,INCLUDE,identifier and metadata recovery,execution verification
P-01,Google Patents,P1,US11494677B2 Recording inference using a blockchain,2022,INCLUDE,inference audit trail on blockchain,provenance
P-02,Google Patents,P2,US11562228B2 Efficient verification of machine learning applications,2023,INCLUDE,blockchain-native efficient ML verification,execution verification
P-03,Google Patents,P3,US11303454B2 Producing and verifying computational determinations using a distributed ledger,2022,INCLUDE,model and inference-event provenance and verification,provenance
P-04,Google Patents,P4,US20250165967A1 Method for machine learning model verification and transaction,2025,INCLUDE,smart-contract verification plus economic transaction,receipt-credit-consensus lifecycle
S-01,IEEE SA,S1,IEEE 3127-2025 Blockchain-Based Federated Machine Learning,2025,INCLUDE,adjacent blockchain ML auditability framework,standards adjacency
S-02,IEEE SA,S2,IEEE 3217-2023 Blockchain Application Interface Specification,2023,EXCLUDE,general interface standard not claim-matched,none
S-03,IEEE SA,S3,P3215 blockchain consensus framework project,2024,INCLUDE,consensus-framework standardization adjacency,consensus background
B-01,MLCommons,B1,MLPerf Inference Benchmark Suite,2026,EXCLUDE,performance benchmark does not evaluate inference provenance audit or receipt-credit lifecycle,benchmark gap
